# Directed graph: ../graphs/karate_kron.txt 
# Kronecker Graph: seed matrix [0.741717, 0.945632; 0.927647, 0.418331
]
# Nodes: 32 Edges: 256
# FromNodeId	ToNodeId
0	1
0	3
0	4
0	9
0	11
0	14
0	19
0	23
0	26
0	31
1	4
1	13
1	15
1	16
1	17
1	18
1	26
1	27
1	30
1	31
2	1
2	8
2	9
2	12
2	14
2	17
2	18
2	20
2	21
2	24
2	29
3	1
3	4
3	6
3	8
3	10
3	16
3	27
3	28
3	29
3	31
4	0
4	7
4	8
4	13
4	15
4	18
4	19
4	22
4	25
4	29
4	30
4	31
5	1
5	2
5	4
5	12
5	19
5	24
5	26
6	1
6	7
6	8
6	13
6	15
6	17
6	18
6	19
6	25
6	29
6	30
7	4
7	5
7	6
7	8
7	12
7	20
8	5
8	6
8	7
8	17
8	19
8	21
8	22
8	23
8	26
8	28
8	30
9	16
9	21
9	27
9	30
10	0
10	3
10	4
10	17
10	18
10	20
10	21
10	22
10	23
11	4
11	16
11	18
11	20
11	24
12	0
12	5
12	16
12	17
12	18
12	19
12	25
12	26
12	27
13	0
13	6
13	7
13	8
13	9
13	16
13	19
13	21
13	24
13	25
14	8
14	13
14	16
14	17
14	27
14	28
15	3
15	5
15	6
15	18
16	2
16	4
16	5
16	8
16	11
16	13
16	14
16	24
16	28
17	0
17	3
17	4
17	5
17	6
17	8
17	11
17	12
17	14
18	4
18	5
18	6
18	9
18	11
18	12
18	13
18	19
18	25
18	27
18	28
18	29
18	31
19	0
19	4
19	6
19	9
19	10
19	11
19	20
19	30
20	4
20	6
20	8
20	9
20	10
20	16
20	26
21	2
21	8
21	10
21	11
21	14
21	20
21	26
22	1
22	3
22	4
22	5
22	6
22	9
22	10
22	15
22	21
22	25
22	30
23	2
23	12
23	16
23	24
24	0
24	1
24	10
24	15
24	29
24	31
25	0
25	1
25	5
25	6
25	7
25	14
25	15
25	18
25	20
25	30
26	0
26	1
26	4
26	5
26	7
26	8
26	10
26	20
26	21
27	0
27	2
27	4
27	5
27	6
27	8
28	2
28	3
28	11
28	18
29	1
29	2
29	3
29	4
29	8
29	16
29	18
29	29
30	4
30	5
30	19
31	4
31	7
31	8
31	11
31	18
31	19
31	20
