	model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
0	BUGGE	1	0.0437143	0.0478692	0.0395593	0.0437143	0.0478692	0.0395593
1	BUGGE	2	0.0371429	0.0393892	0.0348966	0.0087857	0.0109772	0.0065943
2	BUGGE	3	0.0375000	0.0407244	0.0342756	0.0086429	0.0109727	0.0063130
3	BUGGE	4	0.0413571	0.0450940	0.0376203	0.0090714	0.0113197	0.0068232
4	BUGGE	5	0.0465714	0.0521870	0.0409558	0.0098571	0.0124393	0.0072750
5	BUGGE	6	0.0510714	0.0578670	0.0442758	0.0100714	0.0127583	0.0073845
6	BUGGE	7	0.0419286	0.0467237	0.0371335	0.0118571	0.0151854	0.0085289
7	BUGGE	8	0.0419286	0.0457030	0.0381541	0.0085714	0.0111652	0.0059776
8	BUGGE	9	0.0416429	0.0459030	0.0373827	0.0093571	0.0120456	0.0066687
9	BUGGE	10	0.0434286	0.0486055	0.0382517	0.0093571	0.0127755	0.0059388
10	BUGGE	11	0.0433571	0.0477360	0.0389782	0.0100000	0.0129716	0.0070284
11	BUGGE	12	0.0442143	0.0485685	0.0398600	0.0106429	0.0136947	0.0075911
12	BUGGE	13	0.0414286	0.0453408	0.0375163	0.0080000	0.0098405	0.0061595
13	BUGGE	14	0.0442857	0.0485031	0.0400683	0.0101429	0.0124479	0.0078378
14	BUGGE	15	0.0390714	0.0423869	0.0357560	0.0099286	0.0126512	0.0072059
15	BUGGE	16	0.0432857	0.0467876	0.0397838	0.0094286	0.0112251	0.0076320
16	BUGGE	17	0.0428571	0.0458287	0.0398856	0.0083571	0.0104843	0.0062300
17	BUGGE	18	0.0447857	0.0486884	0.0408831	0.0093571	0.0118254	0.0068888
18	BUGGE	19	0.0489286	0.0540025	0.0438547	0.0094286	0.0114561	0.0074011
19	BUGGE	20	0.0477857	0.0530092	0.0425622	0.0092857	0.0119117	0.0066597
