	model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
0	Chung-Lu	1	0.0285424	0.0356222	0.0214627	0.0285424	0.0356222	0.0214627
1	Chung-Lu	2	0.0243242	0.0307766	0.0178718	0.0224068	0.0279580	0.0168557
2	Chung-Lu	3	0.0271797	0.0330616	0.0212978	0.0174839	0.0228458	0.0121220
3	Chung-Lu	4	0.0262429	0.0315587	0.0209272	0.0154134	0.0201845	0.0106422
4	Chung-Lu	5	0.0295311	0.0365005	0.0225617	0.0207308	0.0264687	0.0149928
5	Chung-Lu	6	0.0336616	0.0394651	0.0278582	0.0185784	0.0240613	0.0130955
6	Chung-Lu	7	0.0329009	0.0387855	0.0270163	0.0146872	0.0195730	0.0098014
7	Chung-Lu	8	0.0293053	0.0354545	0.0231562	0.0190754	0.0245443	0.0136065
8	Chung-Lu	9	0.0280465	0.0334818	0.0226111	0.0148334	0.0203869	0.0092799
9	Chung-Lu	10	0.0308342	0.0375697	0.0240988	0.0184379	0.0237620	0.0131139
10	Chung-Lu	11	0.0289201	0.0347906	0.0230497	0.0139709	0.0186553	0.0092865
11	Chung-Lu	12	0.0287229	0.0348759	0.0225698	0.0146766	0.0199665	0.0093866
12	Chung-Lu	13	0.0231197	0.0293931	0.0168463	0.0225098	0.0278424	0.0171772
13	Chung-Lu	14	0.0338708	0.0406680	0.0270736	0.0220744	0.0289887	0.0151601
14	Chung-Lu	15	0.0338588	0.0398056	0.0279121	0.0197584	0.0253032	0.0142136
15	Chung-Lu	16	0.0311135	0.0365440	0.0256830	0.0146212	0.0195309	0.0097114
16	Chung-Lu	17	0.0326636	0.0388210	0.0265061	0.0178966	0.0235999	0.0121934
17	Chung-Lu	18	0.0366094	0.0415686	0.0316501	0.0144984	0.0197466	0.0092501
18	Chung-Lu	19	0.0344201	0.0402083	0.0286319	0.0125272	0.0176053	0.0074490
19	Chung-Lu	20	0.0321659	0.0392009	0.0251308	0.0159317	0.0215162	0.0103471
