	model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
0	SBM	1	0.0074074	0.0074074	0.0074074	0.0074074	0.0074074	0.0074074
1	SBM	2	0.0065926	0.0070330	0.0061521	0.0008148	0.0012553	0.0003744
2	SBM	3	0.0101870	0.0138506	0.0065233	0.0043415	0.0081780	0.0005049
3	SBM	4	0.0154587	0.0203796	0.0105378	0.0086300	0.0134655	0.0037944
4	SBM	5	0.0139010	0.0183605	0.0094416	0.0076890	0.0115208	0.0038571
5	SBM	6	0.0163966	0.0218481	0.0109451	0.0114150	0.0165871	0.0062428
6	SBM	7	0.0173764	0.0222543	0.0124985	0.0119661	0.0172894	0.0066428
7	SBM	8	0.0192148	0.0243065	0.0141232	0.0115020	0.0164810	0.0065229
8	SBM	9	0.0193187	0.0246033	0.0140342	0.0110060	0.0149490	0.0070630
9	SBM	10	0.0190000	0.0241018	0.0138981	0.0124980	0.0169733	0.0080228
10	SBM	11	0.0204772	0.0261549	0.0147996	0.0127258	0.0171093	0.0083422
11	SBM	12	0.0218847	0.0274961	0.0162733	0.0135881	0.0183540	0.0088223
12	SBM	13	0.0282387	0.0339954	0.0224819	0.0176949	0.0229075	0.0124824
13	SBM	14	0.0282095	0.0344122	0.0220068	0.0162446	0.0210514	0.0114377
14	SBM	15	0.0284757	0.0348672	0.0220843	0.0168731	0.0230512	0.0106951
15	SBM	16	0.0295534	0.0363525	0.0227544	0.0171454	0.0229400	0.0113508
16	SBM	17	0.0303511	0.0370298	0.0236724	0.0218320	0.0288182	0.0148459
17	SBM	18	0.0287179	0.0357071	0.0217286	0.0198106	0.0258354	0.0137858
18	SBM	19	0.0202945	0.0257113	0.0148778	0.0193963	0.0259280	0.0128646
19	SBM	20	0.0262224	0.0323008	0.0201441	0.0178797	0.0231513	0.0126082
