	model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
0	Chung-Lu	1	0.0294286	0.0300949	0.0287622	0.0294286	0.0300949	0.0287622
1	Chung-Lu	2	0.0328571	0.0338617	0.0318526	0.0020000	0.0025089	0.0014911
2	Chung-Lu	3	0.0352857	0.0357727	0.0347987	0.0012143	0.0017000	0.0007286
3	Chung-Lu	4	0.0357143	0.0357143	0.0357143	0.0002143	0.0004578	-0.0000292
4	Chung-Lu	5	0.0357143	0.0357143	0.0357143	0.0000000	0.0000000	0.0000000
5	Chung-Lu	6	0.0374286	0.0379408	0.0369163	0.0017143	0.0022265	0.0012020
6	Chung-Lu	7	0.0392857	0.0392857	0.0392857	0.0018571	0.0023694	0.0013449
7	Chung-Lu	8	0.0392857	0.0392857	0.0392857	0.0000000	0.0000000	0.0000000
8	Chung-Lu	9	0.0392857	0.0392857	0.0392857	0.0000000	0.0000000	0.0000000
9	Chung-Lu	10	0.0392857	0.0392857	0.0392857	0.0000000	0.0000000	0.0000000
10	Chung-Lu	11	0.0392857	0.0392857	0.0392857	0.0000000	0.0000000	0.0000000
11	Chung-Lu	12	0.0392857	0.0392857	0.0392857	0.0000000	0.0000000	0.0000000
12	Chung-Lu	13	0.0392857	0.0392857	0.0392857	0.0000000	0.0000000	0.0000000
13	Chung-Lu	14	0.0392857	0.0392857	0.0392857	0.0000000	0.0000000	0.0000000
14	Chung-Lu	15	0.0392857	0.0392857	0.0392857	0.0000000	0.0000000	0.0000000
15	Chung-Lu	16	0.0392857	0.0392857	0.0392857	0.0000000	0.0000000	0.0000000
16	Chung-Lu	17	0.0392857	0.0392857	0.0392857	0.0000000	0.0000000	0.0000000
17	Chung-Lu	18	0.0392857	0.0392857	0.0392857	0.0000000	0.0000000	0.0000000
18	Chung-Lu	19	0.0392857	0.0392857	0.0392857	0.0000000	0.0000000	0.0000000
19	Chung-Lu	20	0.0396429	0.0399504	0.0393353	0.0003571	0.0006647	0.0000496
