	model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
0	CNRG	1	0.0170714	0.0176964	0.0164464	0.0170714	0.0176964	0.0164464
1	CNRG	2	0.0178571	0.0178571	0.0178571	0.0007857	0.0014107	0.0001607
2	CNRG	3	0.0179286	0.0180721	0.0177850	0.0000714	0.0002150	-0.0000721
3	CNRG	4	0.0288571	0.0303477	0.0273665	0.0055000	0.0061866	0.0048134
4	CNRG	5	0.0347143	0.0351746	0.0342539	0.0041429	0.0048029	0.0034828
5	CNRG	6	0.0358571	0.0361442	0.0355701	0.0010714	0.0015413	0.0006016
6	CNRG	7	0.0397143	0.0407322	0.0386964	0.0019286	0.0024396	0.0014176
7	CNRG	8	0.0450000	0.0466016	0.0433984	0.0023571	0.0029588	0.0017554
8	CNRG	9	0.0615714	0.0634459	0.0596970	0.0053571	0.0061312	0.0045831
9	CNRG	10	0.0681429	0.0691649	0.0671208	0.0029286	0.0036297	0.0022275
10	CNRG	11	0.0714286	0.0714286	0.0714286	0.0016429	0.0021539	0.0011319
11	CNRG	12	0.0714286	0.0714286	0.0714286	0.0000000	0.0000000	0.0000000
12	CNRG	13	0.0716429	0.0720735	0.0712122	0.0000714	0.0002150	-0.0000721
13	CNRG	14	0.0720714	0.0728019	0.0713409	0.0002857	0.0005639	0.0000076
14	CNRG	15	0.0735714	0.0748018	0.0723411	0.0007857	0.0012104	0.0003610
15	CNRG	16	0.0733571	0.0745389	0.0721754	0.0007857	0.0012104	0.0003610
16	CNRG	17	0.0745714	0.0760450	0.0730979	0.0009286	0.0013783	0.0004788
17	CNRG	18	0.0748571	0.0764971	0.0732172	0.0007143	0.0011244	0.0003042
18	CNRG	19	0.0747857	0.0762843	0.0732871	0.0012143	0.0017000	0.0007286
19	CNRG	20	0.0764286	0.0782741	0.0745830	0.0009286	0.0013783	0.0004788
