	model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
0	BTER	1	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
1	BTER	2	0.0087143	0.0096350	0.0077936	0.0087143	0.0096350	0.0077936
2	BTER	3	0.0124286	0.0129408	0.0119163	0.0029286	0.0036591	0.0021981
3	BTER	4	0.0128571	0.0133594	0.0123549	0.0015714	0.0020804	0.0010625
4	BTER	5	0.0115714	0.0120093	0.0111335	0.0015714	0.0020804	0.0010625
5	BTER	6	0.0114286	0.0118387	0.0110185	0.0007143	0.0011244	0.0003042
6	BTER	7	0.0116429	0.0120926	0.0111931	0.0007857	0.0012104	0.0003610
7	BTER	8	0.0135714	0.0148683	0.0122745	0.0016429	0.0022304	0.0010553
8	BTER	9	0.0203571	0.0220880	0.0186262	0.0035000	0.0043327	0.0026673
9	BTER	10	0.0232857	0.0237980	0.0227735	0.0019286	0.0025509	0.0013063
10	BTER	11	0.0227857	0.0232834	0.0222881	0.0010714	0.0015413	0.0006016
11	BTER	12	0.0225000	0.0229698	0.0220302	0.0011429	0.0016211	0.0006646
12	BTER	13	0.0229286	0.0234346	0.0224225	0.0008571	0.0012950	0.0004193
13	BTER	14	0.0239286	0.0243984	0.0234587	0.0012857	0.0017779	0.0007936
14	BTER	15	0.0241429	0.0245807	0.0237050	0.0005000	0.0008558	0.0001442
15	BTER	16	0.0240000	0.0244604	0.0235396	0.0007143	0.0011244	0.0003042
16	BTER	17	0.0240000	0.0244604	0.0235396	0.0015714	0.0021572	0.0009857
17	BTER	18	0.0241429	0.0245807	0.0237050	0.0011429	0.0017022	0.0005835
18	BTER	19	0.0245714	0.0249046	0.0242382	0.0012857	0.0018189	0.0007526
19	BTER	20	0.0248571	0.0250581	0.0246562	0.0015714	0.0023431	0.0007998
