	model	gen	abs_mean	abs95d	abs95u
0	GCN_VAE	1	0.0499721	0.0499249	0.0500192
1	GCN_VAE	2	0.0499877	0.0500006	0.0499747
2	GCN_VAE	3	0.0500022	0.0500041	0.0500003
3	GCN_VAE	4	0.0500022	0.0500041	0.0500003
4	GCN_VAE	5	0.0500022	0.0500041	0.0500003
5	GCN_VAE	6	0.0500022	0.0500041	0.0500003
6	GCN_VAE	7	0.0500022	0.0500041	0.0500003
7	GCN_VAE	8	0.0500022	0.0500041	0.0500003
8	GCN_VAE	9	0.0500022	0.0500041	0.0500003
9	GCN_VAE	10	0.0500022	0.0500041	0.0500003
10	GCN_VAE	11	0.0500022	0.0500041	0.0500003
11	GCN_VAE	12	0.0500022	0.0500041	0.0500003
12	GCN_VAE	13	0.0500022	0.0500041	0.0500003
13	GCN_VAE	14	0.0500022	0.0500041	0.0500003
14	GCN_VAE	15	0.0500022	0.0500041	0.0500003
15	GCN_VAE	16	0.0500022	0.0500041	0.0500003
16	GCN_VAE	17	0.0500022	0.0500041	0.0500003
17	GCN_VAE	18	0.0500022	0.0500041	0.0500003
18	GCN_VAE	19	0.0500022	0.0500041	0.0500003
19	GCN_VAE	20	0.0500022	0.0500041	0.0500003
