model	gen	abs_mean	abs-95%	abs+95%	seq_mean	seq-95%	seq+95%
SBM	1	0.0000020	-0.0000011	0.0000052	0.0000020	-0.0000011	0.0000052
SBM	2	-0.0000016	-0.0000071	0.0000039	-0.0000036	-0.0000075	0.0000003
SBM	3	-0.0000031	-0.0000098	0.0000036	-0.0000015	-0.0000045	0.0000015
SBM	4	0.0000001	-0.0000076	0.0000078	0.0000032	0.0000001	0.0000063
SBM	5	-0.0000022	-0.0000113	0.0000068	-0.0000024	-0.0000067	0.0000020
SBM	6	-0.0000027	-0.0000123	0.0000070	-0.0000004	-0.0000047	0.0000038
SBM	7	-0.0000008	-0.0000110	0.0000095	0.0000019	-0.0000012	0.0000050
SBM	8	-0.0000003	-0.0000112	0.0000106	0.0000005	-0.0000033	0.0000042
SBM	9	-0.0000023	-0.0000134	0.0000088	-0.0000020	-0.0000051	0.0000012
SBM	10	-0.0000047	-0.0000173	0.0000079	-0.0000024	-0.0000065	0.0000017
SBM	11	-0.0000048	-0.0000184	0.0000088	-0.0000001	-0.0000036	0.0000034
SBM	12	-0.0000064	-0.0000203	0.0000076	-0.0000016	-0.0000047	0.0000016
SBM	13	-0.0000036	-0.0000182	0.0000110	0.0000028	-0.0000008	0.0000064
SBM	14	-0.0000044	-0.0000188	0.0000099	-0.0000008	-0.0000042	0.0000025
SBM	15	-0.0000032	-0.0000180	0.0000117	0.0000013	-0.0000023	0.0000049
SBM	16	-0.0000039	-0.0000200	0.0000122	-0.0000008	-0.0000047	0.0000031
SBM	17	-0.0000046	-0.0000212	0.0000119	-0.0000007	-0.0000044	0.0000029
SBM	18	-0.0000080	-0.0000255	0.0000094	-0.0000034	-0.0000068	-0.0000001
SBM	19	-0.0000047	-0.0000230	0.0000137	0.0000034	-0.0000003	0.0000071
SBM	20	-0.0000043	-0.0000220	0.0000135	0.0000004	-0.0000036	0.0000045
