Percent of connections that are bidirected: 0.9583598219961856
rule_id, collapses, edges_approx, total_cost, rule_details
47, 36, 0, 71804, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  125)  ('type_1'  'type_1')  ('type_1'  125)  (125  303)  (125  789)  (125  1326)  (125  1580)  (125  1581)  (303  125)  (789  125)  (1326  125)  (1580  125)  (1581  125)]
6, 21, 0, 70024, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  241)  ('type_1'  'type_1')  ('type_1'  241)  (241  242)  (241  1183)  (241  1527)  (241  1592)  (242  241)  (1183  241)  (1527  241)  (1592  241)]
4, 27, 0, 68374, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  241)  ('type_1'  'type_1')  ('type_1'  241)  (241  242)  (241  1527)  (241  1592)  (242  241)  (1527  241)  (1592  241)]
56, 17, 0, 67558, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  158)  ('type_1'  'type_1')  ('type_1'  158)  (158  399)  (158  1319)  (158  1703)  (399  158)  (1319  158)]
1, 44, 0, 65927, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  458)  ('type_1'  'type_1')  ('type_1'  458)  (458  652)  (458  936)  (652  458)  (936  458)]
66, 8, 0, 65666, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  142)  ('type_1'  'type_1')  ('type_1'  142)  (142  684)  (142  1025)  (142  1684)  (1025  142)]
51, 12, 0, 65395, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  555)  ('type_1'  'type_1')  ('type_1'  555)  (555  1137)  (555  1370)  (1370  555)]
68, 8, 0, 65324, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  142)  ('type_1'  'type_1')  ('type_1'  142)  (142  684)  (142  1684)]
0, 27, 0, 65004, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  458)  ('type_1'  'type_1')  ('type_1'  458)  (458  936)  (936  458)]
51, 2, 0, 64963, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  555)  ('type_1'  'type_1')  ('type_1'  555)  (555  1137)  (555  1370)  (1370  555)]
0, 1, 0, 64961, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  458)  ('type_1'  'type_1')  ('type_1'  458)  (458  936)  (936  458)]
3, 7, 0, 64736, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1411)  ('type_1'  'type_1')  ('type_1'  1411)  (241  242)  (241  1411)  (242  241)  (1411  241)]
0, 31, 0, 64344, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  458)  ('type_1'  'type_1')  ('type_1'  458)  (458  936)  (936  458)]
51, 2, 0, 64303, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  555)  ('type_1'  'type_1')  ('type_1'  555)  (555  1137)  (555  1370)  (1370  555)]
0, 150, 0, 62364, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  458)  ('type_1'  'type_1')  ('type_1'  458)  (458  936)  (936  458)]
68, 2, 0, 62347, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  142)  ('type_1'  'type_1')  ('type_1'  142)  (142  684)  (142  1684)]
50, 40, 0, 62338, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  555)  ('type_1'  'type_1')  ('type_1'  555)  (555  1137)]
0, 25, 2, 62028, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  458)  ('type_1'  'type_1')  ('type_1'  458)  (458  936)  (936  458)]
139, 5, 0, 62054, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  78)  ('type_1'  'type_1')  ('type_1'  78)  (1383  78)]
0, 6, 3, 61993, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  458)  ('type_1'  'type_1')  ('type_1'  458)  (458  936)  (936  458)]
3, 1, 1, 61969, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  1411)  ('type_1'  'type_1')  ('type_1'  1411)  (241  242)  (241  1411)  (242  241)  (1411  241)]
0, 12, 11, 61846, [('type_0'  'type_0')  ('type_0'  'type_1')  ('type_0'  458)  ('type_1'  'type_1')  ('type_1'  458)  (458  936)  (936  458)]
